english_name,chinese_name
"CHEUNG SHA WAN KAI FONG WELFARE ASSOCIATION LAM TAM YIN WAH KINDERGARTEN (LAI TSUI COURT)","長沙灣街坊福利會林譚燕華幼稚園(麗翠苑)"
"CHI HONG PRIMARY SCHOOL","慈航學校"
"CHI LIN BUDDHIST PRIMARY SCHOOL","佛教志蓮小學"
"CHI LIN BUDDHIST SECONDARY SCHOOL","佛教志蓮中學"
"CHI YUN SCHOOL (PRIMARY SECTION)","慈恩學校(小學部)"
"CHI YUN SCHOOL (SECONDARY SECTION)","慈恩學校(中學部)"
"CHINA HOLINESS CHURCH LIVING SPIRIT COLLEGE","中華聖潔會靈風中學"
"CHINA HOLINESS COLLEGE","中聖書院"
"CHINESE CHRISTIAN WORKER'S FELLOWSHIP LIMITED, KING SHING KINDERGARTEN","神召會華人同工聯會景盛幼稚園"
"CHINESE CHRISTIAN WORKER'S FELLOWSHIP LTD. CHOI PO KINDERGARTEN","神召會華人同工聯會彩蒲幼稚園"
"CHINESE INTERNATIONAL SCHOOL","漢基國際學校"
"CHINESE METHODIST SCHOOL (NORTH POINT)","北角循道學校"
"CHINESE METHODIST SCHOOL, TANNER HILL","丹拿山循道學校"
"CHINESE Y.M.C.A. COLLEGE","青年會書院"
"CHINESE Y.M.C.A. KINDERGARTEN","中華基督教青年會幼稚園"
"CHINESE Y.M.C.A. PRIMARY SCHOOL","中華基督教青年會小學"
"CHINESE Y.M.C.A. SECONDARY SCHOOL","中華基督教青年會中學"
"CHINESE Y.M.C.A. SHEUNG SHUI KINDERGARTEN","中華基督教青年會上水幼稚園"
"CHINESE YMCA KWAI CHUNG KINDERGARTEN","中華基督教青年會葵涌幼稚園"
"CHING CHUNG HAU PO WOON PRIMARY SCHOOL","青松侯寶垣小學"
"CHING CHUNG HAU PO WOON SECONDARY SCHOOL","青松侯寶垣中學"
"CHING CHUNG WU KING KINDERGARTEN","青松湖景幼稚園"
"CHING CHUNG YU NGA KINDERGARTEN","青松裕雅幼稚園"
"CHIU CHOW ASSOCIATION SECONDARY SCHOOL","潮州會館中學"
"CHIU LUT SAU MEMORIAL SECONDARY SCHOOL","趙聿修紀念中學"
"CHIU SHEUNG SCHOOL, HONG KONG","香港潮商學校"
"CHIU YANG KINDERGARTEN","潮陽幼稚園"
"CHIU YANG POR YEN PRIMARY SCHOOL","潮陽百欣小學"
"CHIU YANG PRIMARY SCHOOL OF HONG KONG","香港潮陽小學"
"CHO YIU CATHOLIC PRIMARY SCHOOL","祖堯天主教小學"
"CHOI HA ESTATE KIT SAM KINDERGARTEN","天主教彩霞邨潔心幼稚園"
"CHOI HUNG ESTATE CATHOLIC SECONDARY SCHOOL","彩虹邨天主教英文中學"
"CHOI JUN SCHOOL (PRIMARY SECTION)","才俊學校(小學部)"
"CHOI JUN SCHOOL (SECONDARY SECTION)","才俊學校(中學部)"
"CHOI WAN ST JOSEPH'S PRIMARY SCHOOL","彩雲聖若瑟小學"
"CHOICE ENGLISH SCHOOL & KINDERGARTEN (TSING YI BRANCH)","卓思英文學校暨幼稚園(青怡分校)"
"CHONG GENE HANG COLLEGE","張振興伉儷書院"
"CHRIST CHURCH KINDERGARTEN","基督堂幼稚園"
"CHRIST COLLEGE","基督書院"
"CHRISTIAN & MISSIONARY ALLIANCE CHUI CHAK LAM MEMORIAL SCHOOL","基督教宣道會徐澤林紀念小學"
"CHRISTIAN & MISSIONARY ALLIANCE CHURCH TAI WO KINDERGARTEN","基督教宣道會太和幼稚園"
"CHRISTIAN & MISSIONARY ALLIANCE CHURCH UNION TSEUNG KWAN O ALLIANCE KINDERGARTEN","基督教宣道會香港區聯會將軍澳宣道幼稚園"
"CHRISTIAN & MISSIONARY ALLIANCE FAIRVIEW PARK KINDERGARTEN","基督教宣道會錦綉幼稚園"
"CHRISTIAN & MISSIONARY ALLIANCE FU SHAN NURSERY SCHOOL","基督教宣道會富山幼兒學校"
"CHRISTIAN & MISSIONARY ALLIANCE JOYFUL PEACE KINDERGARTEN","基督教宣道會頌安幼稚園"
"CHRISTIAN & MISSIONARY ALLIANCE LEI TUNG NURSERY SCHOOL","基督教宣道會利東幼兒學校"
"CHRISTIAN & MISSIONARY ALLIANCE ON TAI KINDERGARTEN","基督教宣道會安泰幼稚園"
"CHRISTIAN & MISSIONARY ALLIANCE PLOVER COVE NURSERY SCHOOL","基督教宣道會寶湖幼兒學校"
"CHRISTIAN & MISSIONARY ALLIANCE SHATIN NURSERY SCHOOL","基督教宣道會沙田幼兒學校"
"CHRISTIAN & MISSIONARY ALLIANCE SOUTH HORIZONS NURSERY SCHOOL","基督教宣道會海怡幼兒學校"
"CHRISTIAN & MISSIONARY ALLIANCE SUN KEI PRIMARY SCHOOL","基督教宣道會宣基小學"
"CHRISTIAN & MISSIONARY ALLIANCE SUN KEI SECONDARY SCHOOL","基督教宣道會宣基中學"
"CHRISTIAN & MISSIONARY ALLIANCE TAI O KINDERGARTEN","基督教宣道會大澳幼稚園"
"CHRISTIAN & MISSIONARY ALLIANCE TIN CHUNG NURSERY SCHOOL","基督教宣道會天頌幼兒學校"
"CHRISTIAN ADRIANNE KINDERGARTEN","基督教安得兒幼稚園"
"CHRISTIAN ADRIANNE KINDERGARTEN (BAYVIEW)","基督教安得兒幼稚園(灣景)"
"CHRISTIAN ALLIANCE CHEN LEE WING TSING MEMORIAL KINDERGARTEN","宣道會陳李詠貞紀念幼稚園"
"CHRISTIAN ALLIANCE CHENG WING GEE COLLEGE OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG","香港九龍塘基督教中華宣道會鄭榮之中學"
"CHRISTIAN ALLIANCE COLLEGE","宣道中學"
"CHRISTIAN ALLIANCE H.C. CHAN PRIMARY SCHOOL OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG","香港九龍塘基督教中華宣道會陳元喜小學"
"CHRISTIAN ALLIANCE INTERNATIONAL SCHOOL","宣道國際學校"
"CHRISTIAN ALLIANCE LOUEY CHOY KWAN LOK KINDERGARTEN","宣道會雷蔡群樂幼稚園"
"CHRISTIAN ALLIANCE P.C. LAU MEMORIAL INTERNATIONAL SCHOOL","宣道會劉平齋紀念國際學校"
"CHRISTIAN ALLIANCE S W CHAN MEMORIAL COLLEGE","宣道會陳朱素華紀念中學"
"CHRISTIAN ALLIANCE S Y YEH MEMORIAL PRIMARY SCHOOL","宣道會葉紹蔭紀念小學"
"CHRISTIAN ALLIANCE S. C. CHAN MEMORIAL COLLEGE","香港九龍塘基督教中華宣道會陳瑞芝紀念中學"
"CHRISTIAN ALLIANCE SAU MAU PING CHEN LEE WING TSING KINDERGARTEN","宣道會秀茂坪陳李詠貞幼稚園"
"CHRISTIAN ALLIANCE TOI SHAN H. C. CHAN PRIMARY SCHOOL OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG","香港九龍塘基督教中華宣道會台山陳元喜小學"
"CHRISTIAN AND MISSIONARY ALLIANCE CHURCH VERBENA KINDERGARTEN","基督教宣道會茵怡幼稚園"
"CHRISTIAN EVANGELICAL CENTRE LOK FU KINDERGARTEN","基督教佈道中心樂富幼稚園"
"CHRISTIAN FAMILY SERVICE CENTRE CHEERLAND KINDERGARTEN","基督教家庭服務中心趣樂幼稚園"
"CHRISTIAN FAMILY SERVICE CENTRE TAK TIN KINDERGARTEN","基督教家庭服務中心德田幼稚園"
"CHRISTIAN FAMILY SERVICE CENTRE YEOH CHOY WAI HAAN MEMORIAL KINDERGARTEN","基督教家庭服務中心楊蔡慧嫻紀念幼稚園"
"CHRISTIAN LITTLE ANGEL KINDERGARTEN (KAM FUNG COURT)","基督教小天使(錦豐)幼稚園"
"CHRISTIAN LITTLE ANGEL KINDERGARTEN RICHLAND GARDENS","基督教小天使(麗晶)幼稚園"
"CHRISTIAN LITTLE TREE KINDERGARTEN","基督教小樹苗幼稚園"
"CHRISTIAN NATIONALS' EVANGELISM COMMISSION LAU WING SANG SECONDARY SCHOOL","中華傳道會劉永生中學"
"CHRISTIAN PUI YAN PRIMARY SCHOOL","基督教培恩小學"
"CHRISTIAN YOUTH CENTRE KINDERGARTEN","基督教中心幼稚園"
"CHRISTIAN YOUTH CENTRE KINDERGARTEN (YAU TONG)","基督教中心幼稚園(油塘)"
"CHUEN YUEN CHURCH KINDERGARTEN","全完堂幼稚園"
"CHUN TOK SCHOOL","真鐸學校"
"CHUNG SING BENEVOLENT SOCIETY MRS. AW BOON HAW SECONDARY SCHOOL","鐘聲慈善社胡陳金枝中學"
"CHUNG SING SCHOOL","鐘聲學校"
"CITY KIDS PRESCHOOL AND PLAYGROUP","都市兒童學前班和遊樂班"
"CLEARWATER BAY SCHOOL","清水灣學校"
"CLEMENT KINDERGARTEN","啟文幼稚園"
"CLEMENTI SECONDARY SCHOOL","金文泰中學"
"CMA CHOI CHEUNG KOK SECONDARY SCHOOL","廠商會蔡章閣中學"
"CMA SECONDARY SCHOOL","廠商會中學"
"CNEC CHRISTIAN COLLEGE","中華傳道會安柱中學"
"CNEC CHRISTIAN KINDERGARTEN","中華傳道會基石幼稚園"
"CNEC LEE I YAO MEMORIAL SECONDARY SCHOOL","中華傳道會李賢堯紀念中學"
"CNEC LUI MING CHOI PRIMARY SCHOOL","中華傳道會呂明才小學"
"CNEC TA TUNG SCHOOL","中華傳道會許大同學校"
"COGNITIO COLLEGE (HONG KONG)","文理書院(香港)"
"COGNITIO COLLEGE (KOWLOON)","文理書院(九龍)"
"CONCORDIA INTERNATIONAL SCHOOL","協同國際學校"
"CONCORDIA LUTHERAN SCHOOL","路德會協同中學"
"CONCORDIA LUTHERAN SCHOOL - NORTH POINT","北角協同中學"
"CONFUCIAN TAI SHING HO KWOK PUI CHUN COLLEGE","孔教學院大成何郭佩珍中學"
"CONFUCIAN TAI SHING PRIMARY SCHOOL","孔教學院大成小學"
"CONSERVATIVE BAPTIST LUI MING CHOI PRIMARY SCHOOL","浸信宣道會呂明才小學"
"COTTON SPINNERS ASSOCIATION SECONDARY SCHOOL","棉紡會中學"
"CREATIVE ANGLO-CHINESE KINDERGARTEN (MA ON SHAN)","啟思中英文幼稚園(馬鞍山)"
"CREATIVE DAY NURSERY (SCENEWAY)","啓思幼稚園（匯景）"
"CREATIVE KINDERGARTEN","啓思幼稚園"
"CREATIVE KINDERGARTEN (AEGEAN COAST)","啓思幼稚園(愛琴)"
"CREATIVE KINDERGARTEN (CASTELLO)","啓思幼稚園(帝堡城)"
"CREATIVE KINDERGARTEN (HENG FA CHUEN)","啓思幼稚園﹝杏花邨﹞"
